bot_id,mice_type,steps,alpha
2,2,124,0.08
2,2,364,0.08
2,2,330,0.08
2,2,54,0.08
2,2,266,0.08
2,2,366,0.08
2,2,180,0.08
2,2,150,0.08
2,2,136,0.08
2,2,62,0.08
2,2,260,0.08
2,2,156,0.08
2,2,124,0.08
2,2,438,0.08
2,2,112,0.08
2,2,124,0.08
2,2,382,0.08
2,2,224,0.08
2,2,66,0.08
2,2,148,0.08
2,2,182,0.08
2,2,270,0.08
2,2,414,0.08
2,2,258,0.08
2,2,142,0.08
2,2,282,0.08
2,2,114,0.08
2,2,762,0.08
2,2,386,0.08
2,2,216,0.08
2,2,326,0.08
2,2,190,0.08
2,2,174,0.08
2,2,330,0.08
2,2,410,0.08
2,2,170,0.08
2,2,178,0.08
2,2,280,0.08
2,2,128,0.08
2,2,246,0.08
2,2,234,0.08
2,2,410,0.08
2,2,202,0.08
2,2,154,0.08
2,2,114,0.08
2,2,458,0.08
2,2,204,0.08
2,2,196,0.08
2,2,438,0.08
2,2,500,0.08
2,2,274,0.08
2,2,582,0.08
2,2,234,0.08
2,2,352,0.08
2,2,426,0.08
2,2,484,0.08
2,2,382,0.08
2,2,176,0.08
2,2,6,0.08
2,2,110,0.08
2,2,308,0.08
2,2,180,0.08
2,2,216,0.08
2,2,448,0.08
2,2,490,0.08
2,2,624,0.08
2,2,472,0.08
2,2,484,0.08
2,2,302,0.08
2,2,294,0.08
2,2,212,0.08
2,2,136,0.08
2,2,168,0.08
2,2,478,0.08
2,2,176,0.08
2,2,518,0.08
2,2,254,0.08
2,2,302,0.08
2,2,154,0.08
2,2,324,0.08
2,2,266,0.08
2,2,148,0.08
2,2,180,0.08
2,2,366,0.08
2,2,112,0.08
2,2,152,0.08
2,2,586,0.08
2,2,232,0.08
2,2,124,0.08
2,2,374,0.08
2,2,310,0.08
2,2,202,0.08
2,2,164,0.08
2,2,46,0.08
2,2,84,0.08
2,2,134,0.08
2,2,214,0.08
2,2,272,0.08
2,2,208,0.08
2,2,150,0.08
2,2,130,0.08
2,2,326,0.08
2,2,58,0.08
2,2,392,0.08
2,2,338,0.08
2,2,206,0.08
2,2,182,0.08
2,2,234,0.08
2,2,212,0.08
2,2,260,0.08
2,2,290,0.08
2,2,252,0.08
2,2,220,0.08
2,2,366,0.08
2,2,244,0.08
2,2,100,0.08
2,2,142,0.08
2,2,1356,0.08
2,2,58,0.08
2,2,302,0.08
2,2,516,0.08
2,2,290,0.08
2,2,284,0.08
2,2,66,0.08
2,2,246,0.08
2,2,304,0.08
2,2,606,0.08
2,2,140,0.08
2,2,70,0.08
2,2,480,0.08
2,2,236,0.08
2,2,122,0.08
2,2,362,0.08
2,2,312,0.08
2,2,468,0.08
2,2,514,0.08
2,2,186,0.08
2,2,308,0.08
2,2,128,0.08
2,2,196,0.08
2,2,486,0.08
2,2,590,0.08
2,2,212,0.08
2,2,296,0.08
2,2,234,0.08
2,2,222,0.08
2,2,456,0.08
2,2,288,0.08
2,2,172,0.08
2,2,324,0.08
2,2,158,0.08
2,2,162,0.08
2,2,282,0.08
2,2,142,0.08
2,2,318,0.08
2,2,366,0.08
2,2,344,0.08
2,2,124,0.08
2,2,556,0.08
2,2,366,0.08
2,2,306,0.08
2,2,354,0.08
2,2,258,0.08
2,2,88,0.08
2,2,262,0.08
2,2,324,0.08
2,2,38,0.08
2,2,244,0.08
2,2,238,0.08
2,2,470,0.08
2,2,362,0.08
2,2,254,0.08
2,2,514,0.08
2,2,252,0.08
2,2,472,0.08
2,2,474,0.08
2,2,410,0.08
2,2,368,0.08
2,2,220,0.08
2,2,310,0.08
2,2,206,0.08
2,2,480,0.08
2,2,698,0.08
2,2,96,0.08
2,2,144,0.08
2,2,32,0.08
2,2,152,0.08
2,2,180,0.08
2,2,294,0.08
2,2,384,0.08
2,2,438,0.08
2,2,116,0.08
2,2,130,0.08
2,2,402,0.08
2,2,258,0.08
2,2,152,0.08
2,2,444,0.08
2,2,130,0.08
2,2,154,0.08
2,2,248,0.08
2,2,448,0.08
2,2,330,0.08
2,2,258,0.08
2,2,352,0.08
2,2,292,0.08
2,2,86,0.08
2,2,654,0.08
2,2,248,0.08
2,2,216,0.08
2,2,168,0.08
2,2,450,0.08
2,2,154,0.08
2,2,492,0.08
2,2,334,0.08
2,2,384,0.08
2,2,416,0.08
2,2,162,0.08
2,2,420,0.08
2,2,374,0.08
2,2,218,0.08
2,2,378,0.08
2,2,274,0.08
2,2,354,0.08
2,2,294,0.08
2,2,164,0.08
2,2,262,0.08
2,2,360,0.08
2,2,298,0.08
2,2,486,0.08
2,2,142,0.08
2,2,500,0.08
2,2,654,0.08
2,2,504,0.08
2,2,108,0.08
2,2,172,0.08
2,2,292,0.08
2,2,146,0.08
2,2,278,0.08
2,2,198,0.08
2,2,222,0.08
2,2,548,0.08
2,2,50,0.08
2,2,256,0.08
2,2,308,0.08
2,2,194,0.08
2,2,144,0.08
2,2,246,0.08
2,2,176,0.08
2,2,294,0.08
2,2,114,0.08
2,2,144,0.08
2,2,538,0.08
2,2,276,0.08
2,2,162,0.08
2,2,248,0.08
2,2,324,0.08
2,2,268,0.08
2,2,94,0.08
2,2,312,0.08
2,2,160,0.08
2,2,110,0.08
2,2,360,0.08
2,2,266,0.08
2,2,102,0.08
2,2,530,0.08
2,2,446,0.08
2,2,344,0.08
2,2,188,0.08
2,2,352,0.08
2,2,266,0.08
2,2,602,0.08
2,2,316,0.08
2,2,104,0.08
2,2,64,0.08
2,2,586,0.08
2,2,312,0.08
2,2,372,0.08
2,2,310,0.08
2,2,94,0.08
2,2,84,0.08
2,2,336,0.08
2,2,436,0.08
2,2,364,0.08
2,2,44,0.08
2,2,126,0.08
2,2,102,0.08
2,2,346,0.08
2,2,758,0.08
2,2,404,0.08
2,2,88,0.08
2,2,292,0.08
2,2,184,0.08
2,2,244,0.08
2,2,202,0.08
2,2,356,0.08
2,2,1034,0.08
2,2,104,0.08
2,2,300,0.08
2,2,320,0.08
2,2,304,0.08
2,2,66,0.08
2,2,210,0.08
2,2,276,0.08
2,2,108,0.08
2,2,344,0.08
2,2,282,0.08
2,2,258,0.08
2,2,74,0.08
2,2,158,0.08
2,2,504,0.08
2,2,156,0.08
2,2,516,0.08
2,2,216,0.08
2,2,238,0.08
2,2,266,0.08
2,2,138,0.08
2,2,244,0.08
2,2,514,0.08
2,2,220,0.08
2,2,620,0.08
2,2,416,0.08
2,2,362,0.08
2,2,340,0.08
2,2,46,0.08
2,2,186,0.08
2,2,334,0.08
2,2,614,0.08
2,2,242,0.08
2,2,356,0.08
2,2,334,0.08
2,2,256,0.08
2,2,410,0.08
2,2,616,0.08
2,2,200,0.08
2,2,556,0.08
2,2,90,0.08
2,2,446,0.08
2,2,346,0.08
2,2,292,0.08
2,2,200,0.08
2,2,288,0.08
2,2,264,0.08
2,2,308,0.08
2,2,360,0.08
2,2,220,0.08
2,2,332,0.08
2,2,96,0.08
2,2,244,0.08
2,2,186,0.08
2,2,544,0.08
2,2,232,0.08
2,2,342,0.08
2,2,170,0.08
2,2,418,0.08
2,2,114,0.08
2,2,708,0.08
2,2,360,0.08
2,2,370,0.08
2,2,102,0.08
2,2,286,0.08
2,2,248,0.08
2,2,26,0.08
2,2,200,0.08
2,2,334,0.08
2,2,510,0.08
2,2,132,0.08
2,2,404,0.08
2,2,368,0.08
2,2,286,0.08
2,2,484,0.08
2,2,194,0.08
2,2,220,0.08
2,2,248,0.08
2,2,134,0.08
2,2,356,0.08
2,2,176,0.08
2,2,256,0.08
2,2,310,0.08
2,2,376,0.08
2,2,182,0.08
2,2,348,0.08
2,2,152,0.08
2,2,242,0.08
2,2,184,0.08
2,2,256,0.08
2,2,780,0.08
2,2,204,0.08
2,2,916,0.08
2,2,42,0.08
2,2,172,0.08
2,2,298,0.08
2,2,286,0.08
2,2,274,0.08
2,2,332,0.08
2,2,164,0.08
2,2,138,0.08
2,2,212,0.08
2,2,330,0.08
2,2,370,0.08
2,2,376,0.08
2,2,520,0.08
2,2,1248,0.08
2,2,402,0.08
2,2,140,0.08
2,2,342,0.08
2,2,92,0.08
2,2,304,0.08
2,2,430,0.08
2,2,168,0.08
2,2,190,0.08
2,2,134,0.08
2,2,84,0.08
2,2,168,0.08
2,2,298,0.08
2,2,256,0.08
2,2,246,0.08
2,2,296,0.08
2,2,560,0.08
2,2,370,0.08
2,2,204,0.08
2,2,704,0.08
2,2,286,0.08
2,2,146,0.08
2,2,226,0.08
2,2,474,0.08
2,2,258,0.08
2,2,116,0.08
2,2,80,0.08
2,2,210,0.08
2,2,168,0.08
2,2,356,0.08
2,2,378,0.08
2,2,174,0.08
2,2,148,0.08
2,2,534,0.08
2,2,152,0.08
2,2,212,0.08
2,2,558,0.08
2,2,164,0.08
2,2,236,0.08
2,2,278,0.08
2,2,158,0.08
2,2,136,0.08
2,2,244,0.08
2,2,248,0.08
2,2,476,0.08
2,2,420,0.08
2,2,300,0.08
2,2,140,0.08
2,2,66,0.08
2,2,478,0.08
2,2,132,0.08
2,2,258,0.08
2,2,130,0.08
2,2,254,0.08
2,2,260,0.08
2,2,262,0.08
2,2,752,0.08
2,2,256,0.08
2,2,464,0.08
2,2,364,0.08
2,2,240,0.08
2,2,430,0.08
2,2,546,0.08
2,2,220,0.08
2,2,458,0.08
2,2,224,0.08
2,2,182,0.08
2,2,576,0.08
2,2,104,0.08
2,2,426,0.08
2,2,100,0.08
2,2,668,0.08
2,2,278,0.08
2,2,108,0.08
2,2,276,0.08
2,2,966,0.08
2,2,56,0.08
2,2,566,0.08
2,2,310,0.08
2,2,96,0.08
2,2,260,0.08
2,2,762,0.08
2,2,144,0.08
2,2,90,0.08
2,2,124,0.08
2,2,596,0.08
2,2,142,0.08
2,2,96,0.08
2,2,308,0.08
2,2,360,0.08
2,2,312,0.08
2,2,308,0.08
2,2,110,0.08
2,2,138,0.08
2,2,312,0.08
2,2,4,0.08
2,2,112,0.08
2,2,206,0.08
2,2,424,0.08
2,2,194,0.08
2,2,194,0.08
2,2,128,0.08
2,2,284,0.08
2,2,248,0.08
2,2,324,0.08
2,2,146,0.08
2,2,278,0.08
2,2,156,0.08
2,2,1130,0.08
2,2,390,0.08
2,2,414,0.08
2,2,92,0.08
2,2,536,0.08
2,2,82,0.08
2,2,78,0.08
2,2,318,0.08
2,2,392,0.08
2,2,252,0.08
2,2,188,0.08
2,2,14,0.08
2,2,874,0.08
2,2,706,0.08
2,2,262,0.08
2,2,294,0.08
2,2,298,0.08
2,2,352,0.08
2,2,728,0.08
2,2,188,0.08
2,2,306,0.08
2,2,392,0.08
2,2,238,0.08
2,2,198,0.08
2,2,306,0.08
2,2,280,0.08
2,2,190,0.08
2,2,150,0.08
2,2,478,0.08
2,2,102,0.08
2,2,90,0.08
2,2,186,0.08
2,2,104,0.08
2,2,110,0.08
2,2,220,0.08
2,2,338,0.08
2,2,158,0.08
2,2,196,0.08
2,2,374,0.08
2,2,154,0.08
2,2,188,0.08
2,2,300,0.08
2,2,108,0.08
2,2,294,0.08
2,2,336,0.08
2,2,172,0.08
2,2,262,0.08
2,2,156,0.08
2,2,344,0.07
2,2,162,0.07
2,2,36,0.07
2,2,286,0.07
2,2,160,0.07
2,2,100,0.07
2,2,426,0.07
2,2,278,0.07
2,2,310,0.07
2,2,246,0.07
2,2,92,0.07
2,2,436,0.07
2,2,192,0.07
2,2,276,0.07
2,2,174,0.07
2,2,230,0.07
2,2,242,0.07
2,2,168,0.07
2,2,202,0.07
2,2,326,0.07
2,2,250,0.07
2,2,330,0.07
2,2,132,0.07
2,2,290,0.07
2,2,158,0.07
2,2,446,0.07
2,2,320,0.07
2,2,212,0.07
2,2,450,0.07
2,2,170,0.07
2,2,16,0.07
2,2,616,0.07
2,2,96,0.07
2,2,154,0.07
2,2,226,0.07
2,2,134,0.07
2,2,188,0.07
2,2,194,0.07
2,2,312,0.07
2,2,236,0.07
2,2,344,0.07
2,2,156,0.07
2,2,630,0.07
2,2,176,0.07
2,2,542,0.07
2,2,106,0.07
2,2,188,0.07
2,2,412,0.07
2,2,198,0.07
2,2,250,0.07
2,2,238,0.07
2,2,550,0.07
2,2,236,0.07
2,2,274,0.07
2,2,158,0.07
2,2,126,0.07
2,2,278,0.07
2,2,104,0.07
2,2,262,0.07
2,2,214,0.07
2,2,560,0.07
2,2,90,0.07
2,2,300,0.07
2,2,86,0.07
2,2,426,0.07
2,2,256,0.07
2,2,216,0.07
2,2,356,0.07
2,2,538,0.07
2,2,192,0.07
2,2,960,0.07
2,2,166,0.07
2,2,84,0.07
2,2,334,0.07
2,2,394,0.07
2,2,340,0.07
2,2,162,0.07
2,2,184,0.07
2,2,202,0.07
2,2,494,0.07
2,2,376,0.07
2,2,150,0.07
2,2,680,0.07
2,2,188,0.07
2,2,326,0.07
2,2,284,0.07
2,2,222,0.07
2,2,526,0.07
2,2,256,0.07
2,2,380,0.07
2,2,242,0.07
2,2,206,0.07
2,2,388,0.07
2,2,108,0.07
2,2,274,0.07
2,2,192,0.07
2,2,208,0.07
2,2,188,0.07
2,2,294,0.07
2,2,376,0.07
2,2,452,0.07
2,2,888,0.07
2,2,78,0.07
2,2,224,0.07
2,2,70,0.07
2,2,290,0.07
2,2,400,0.07
2,2,312,0.07
2,2,370,0.07
2,2,272,0.07
2,2,524,0.07
2,2,418,0.07
2,2,0,0.07
2,2,204,0.07
2,2,262,0.07
2,2,276,0.07
2,2,388,0.07
2,2,150,0.07
2,2,128,0.07
2,2,460,0.07
2,2,300,0.07
2,2,638,0.07
2,2,214,0.07
2,2,406,0.07
2,2,220,0.07
2,2,158,0.07
2,2,320,0.07
2,2,636,0.07
2,2,558,0.07
2,2,372,0.07
2,2,88,0.07
2,2,318,0.07
2,2,474,0.07
2,2,308,0.07
2,2,392,0.07
2,2,566,0.07
2,2,244,0.07
2,2,226,0.07
2,2,132,0.07
2,2,206,0.07
2,2,48,0.07
2,2,812,0.07
2,2,176,0.07
2,2,72,0.07
2,2,126,0.07
2,2,156,0.07
2,2,122,0.07
2,2,454,0.07
2,2,654,0.07
2,2,222,0.07
2,2,124,0.07
2,2,320,0.07
2,2,596,0.07
2,2,400,0.07
2,2,214,0.07
2,2,180,0.07
2,2,556,0.07
2,2,96,0.07
2,2,198,0.07
2,2,248,0.07
2,2,134,0.07
2,2,316,0.07
2,2,216,0.07
2,2,282,0.07
2,2,580,0.07
2,2,166,0.07
2,2,308,0.07
2,2,250,0.07
2,2,204,0.07
2,2,228,0.07
2,2,600,0.07
2,2,72,0.07
2,2,148,0.07
2,2,772,0.07
2,2,524,0.07
2,2,304,0.07
2,2,122,0.07
2,2,152,0.07
2,2,456,0.07
2,2,478,0.07
2,2,310,0.07
2,2,194,0.07
2,2,482,0.07
2,2,352,0.07
2,2,102,0.07
2,2,134,0.07
2,2,224,0.07
2,2,382,0.07
2,2,252,0.07
2,2,402,0.07
2,2,152,0.07
2,2,214,0.07
2,2,426,0.07
2,2,110,0.07
2,2,694,0.07
2,2,432,0.07
2,2,170,0.07
2,2,224,0.07
2,2,300,0.07
2,2,240,0.07
2,2,244,0.07
2,2,494,0.07
2,2,630,0.07
2,2,594,0.07
2,2,354,0.07
2,2,172,0.07
2,2,222,0.07
2,2,198,0.07
2,2,78,0.07
2,2,270,0.07
2,2,258,0.07
2,2,160,0.07
2,2,248,0.07
2,2,62,0.07
2,2,364,0.07
2,2,212,0.07
2,2,264,0.07
2,2,150,0.07
2,2,130,0.07
2,2,148,0.07
2,2,336,0.07
2,2,714,0.07
2,2,228,0.07
2,2,170,0.07
2,2,116,0.07
2,2,440,0.07
2,2,176,0.07
2,2,356,0.07
2,2,368,0.07
2,2,218,0.07
2,2,396,0.07
2,2,546,0.07
2,2,522,0.07
2,2,358,0.07
2,2,136,0.07
2,2,396,0.07
2,2,288,0.07
2,2,146,0.07
2,2,152,0.07
2,2,540,0.07
2,2,514,0.07
2,2,324,0.07
2,2,286,0.07
2,2,472,0.07
2,2,320,0.07
2,2,294,0.07
2,2,242,0.07
2,2,346,0.07
2,2,234,0.07
2,2,292,0.07
2,2,554,0.07
2,2,1344,0.07
2,2,290,0.07
2,2,202,0.07
2,2,178,0.07
2,2,514,0.07
2,2,418,0.07
2,2,302,0.07
2,2,174,0.07
2,2,440,0.07
2,2,436,0.07
2,2,350,0.07
2,2,138,0.07
2,2,28,0.07
2,2,600,0.07
2,2,314,0.07
2,2,126,0.07
2,2,210,0.07
2,2,410,0.07
2,2,668,0.07
2,2,228,0.07
2,2,176,0.07
2,2,326,0.07
2,2,402,0.07
2,2,388,0.07
2,2,88,0.07
2,2,62,0.07
2,2,170,0.07
2,2,96,0.07
2,2,412,0.07
2,2,326,0.07
2,2,246,0.07
2,2,198,0.07
2,2,466,0.07
2,2,192,0.07
2,2,648,0.07
2,2,98,0.07
2,2,140,0.07
2,2,326,0.07
2,2,362,0.07
2,2,312,0.07
2,2,160,0.07
2,2,172,0.07
2,2,64,0.07
2,2,278,0.07
2,2,64,0.07
2,2,636,0.07
2,2,648,0.07
2,2,544,0.07
2,2,100,0.07
2,2,236,0.07
2,2,94,0.07
2,2,432,0.07
2,2,274,0.07
2,2,370,0.07
2,2,560,0.07
2,2,256,0.07
2,2,422,0.07
2,2,382,0.07
2,2,394,0.07
2,2,180,0.07
2,2,118,0.07
2,2,248,0.07
2,2,126,0.07
2,2,32,0.07
2,2,76,0.07
2,2,578,0.07
2,2,168,0.07
2,2,526,0.07
2,2,316,0.07
2,2,110,0.07
2,2,110,0.07
2,2,38,0.07
2,2,286,0.07
2,2,168,0.07
2,2,178,0.07
2,2,274,0.07
2,2,394,0.07
2,2,134,0.07
2,2,236,0.07
2,2,172,0.07
2,2,510,0.07
2,2,344,0.07
2,2,282,0.07
2,2,172,0.07
2,2,290,0.07
2,2,326,0.07
2,2,618,0.07
2,2,12,0.07
2,2,176,0.07
2,2,246,0.07
2,2,196,0.07
2,2,134,0.07
2,2,188,0.07
2,2,54,0.07
2,2,104,0.07
2,2,240,0.07
2,2,326,0.07
2,2,444,0.07
2,2,136,0.07
2,2,426,0.07
2,2,258,0.07
2,2,222,0.07
2,2,146,0.07
2,2,446,0.07
2,2,440,0.07
2,2,156,0.07
2,2,532,0.07
2,2,212,0.07
2,2,680,0.07
2,2,134,0.07
2,2,90,0.07
2,2,266,0.07
2,2,282,0.07
2,2,396,0.07
2,2,316,0.07
2,2,508,0.07
2,2,420,0.07
2,2,466,0.07
2,2,254,0.07
2,2,270,0.07
2,2,230,0.07
2,2,210,0.07
2,2,134,0.07
2,2,224,0.07
2,2,736,0.07
2,2,378,0.07
2,2,226,0.07
2,2,166,0.07
2,2,376,0.07
2,2,110,0.07
2,2,594,0.07
2,2,334,0.07
2,2,360,0.07
2,2,214,0.07
2,2,268,0.07
2,2,164,0.07
2,2,288,0.07
2,2,258,0.07
2,2,700,0.07
2,2,406,0.07
2,2,102,0.07
2,2,130,0.07
2,2,246,0.07
2,2,50,0.07
2,2,340,0.07
2,2,120,0.07
2,2,484,0.07
2,2,292,0.07
2,2,310,0.07
2,2,218,0.07
2,2,302,0.07
2,2,6,0.07
2,2,130,0.07
2,2,354,0.07
2,2,376,0.07
2,2,154,0.07
2,2,214,0.07
2,2,118,0.07
2,2,456,0.07
2,2,288,0.07
2,2,1348,0.07
2,2,184,0.07
2,2,570,0.07
2,2,288,0.07
2,2,220,0.07
2,2,478,0.07
2,2,194,0.07
2,2,20,0.07
2,2,236,0.07
2,2,612,0.07
2,2,154,0.07
2,2,320,0.07
2,2,110,0.07
2,2,208,0.07
2,2,90,0.07
2,2,370,0.07
2,2,368,0.07
2,2,8,0.07
2,2,170,0.07
2,2,160,0.07
2,2,98,0.07
2,2,170,0.07
2,2,164,0.07
2,2,258,0.07
2,2,202,0.07
2,2,524,0.07
2,2,108,0.07
2,2,364,0.07
2,2,170,0.07
2,2,390,0.07
2,2,216,0.07
2,2,284,0.07
2,2,286,0.07
2,2,276,0.07
2,2,402,0.07
2,2,326,0.07
2,2,92,0.07
2,2,348,0.07
2,2,70,0.07
2,2,362,0.07
2,2,150,0.07
2,2,328,0.07
2,2,268,0.07
2,2,204,0.07
2,2,38,0.07
2,2,298,0.07
2,2,176,0.07
2,2,240,0.07
2,2,352,0.07
2,2,18,0.07
2,2,490,0.07
2,2,218,0.07
2,2,570,0.07
2,2,244,0.07
2,2,218,0.07
2,2,488,0.07
2,2,348,0.07
2,2,378,0.07
2,2,162,0.07
2,2,484,0.07
2,2,478,0.07
2,2,178,0.07
2,2,224,0.07
2,2,134,0.07
2,2,94,0.07
2,2,592,0.07
2,2,350,0.07
2,2,182,0.07
2,2,360,0.07
2,2,416,0.07
2,2,254,0.07
2,2,466,0.07
2,2,198,0.07
2,2,146,0.07
2,2,190,0.07
2,2,126,0.07
2,2,218,0.07
2,2,344,0.07
2,2,618,0.07
2,2,180,0.07
2,2,196,0.07
2,2,110,0.07
2,2,536,0.07
2,2,994,0.07
2,2,526,0.07
2,2,168,0.07
2,2,366,0.07
2,2,230,0.07
2,2,208,0.07
2,2,856,0.07
2,2,22,0.07
2,2,320,0.07
2,2,430,0.07
2,2,168,0.07
2,2,116,0.07
2,2,160,0.07
2,2,140,0.07
2,2,190,0.07
2,2,310,0.07
2,2,252,0.07
2,2,326,0.07
2,2,348,0.07
2,2,378,0.07
2,2,662,0.07
2,2,318,0.07
2,2,310,0.07
2,2,224,0.07
2,2,146,0.07
2,2,472,0.07
2,2,218,0.07
2,2,408,0.07
2,2,452,0.07
2,2,496,0.07
2,2,96,0.07
2,2,224,0.07
2,2,416,0.07
2,2,770,0.07
2,2,100,0.07
2,2,224,0.07
2,2,264,0.07
2,2,196,0.07
2,2,222,0.07
2,2,530,0.07
2,2,122,0.07
2,2,404,0.07
2,2,246,0.07
2,2,176,0.07
2,2,370,0.07
2,2,210,0.07
2,2,148,0.07
2,2,728,0.07
2,2,158,0.07
2,2,180,0.07
2,2,444,0.07
2,2,332,0.07
2,2,162,0.07
2,2,486,0.07
2,2,200,0.07
2,2,516,0.07
2,2,128,0.07
2,2,228,0.07
2,2,270,0.07
2,2,558,0.07
2,2,6,0.07
2,2,684,0.07
2,2,504,0.06
2,2,48,0.06
2,2,2,0.06
2,2,180,0.06
2,2,276,0.06
2,2,184,0.06
2,2,150,0.06
2,2,198,0.06
2,2,242,0.06
2,2,262,0.06
2,2,120,0.06
2,2,388,0.06
2,2,70,0.06
2,2,34,0.06
2,2,726,0.06
2,2,172,0.06
2,2,450,0.06
2,2,578,0.06
2,2,356,0.06
2,2,152,0.06
2,2,528,0.06
2,2,68,0.06
2,2,334,0.06
2,2,250,0.06
2,2,122,0.06
2,2,344,0.06
2,2,944,0.06
2,2,260,0.06
2,2,202,0.06
2,2,476,0.06
2,2,202,0.06
2,2,274,0.06
2,2,438,0.06
2,2,248,0.06
2,2,238,0.06
2,2,216,0.06
2,2,146,0.06
2,2,126,0.06
2,2,168,0.06
2,2,182,0.06
2,2,396,0.06
2,2,448,0.06
2,2,124,0.06
2,2,580,0.06
2,2,198,0.06
2,2,400,0.06
2,2,278,0.06
2,2,986,0.06
2,2,216,0.06
2,2,298,0.06
2,2,384,0.06
2,2,210,0.06
2,2,122,0.06
2,2,928,0.06
2,2,262,0.06
2,2,602,0.06
2,2,152,0.06
2,2,300,0.06
2,2,846,0.06
2,2,418,0.06
2,2,396,0.06
2,2,234,0.06
2,2,168,0.06
2,2,378,0.06
2,2,312,0.06
2,2,332,0.06
2,2,178,0.06
2,2,306,0.06
2,2,358,0.06
2,2,568,0.06
2,2,1374,0.06
2,2,182,0.06
2,2,246,0.06
2,2,284,0.06
2,2,278,0.06
2,2,84,0.06
2,2,662,0.06
2,2,354,0.06
2,2,318,0.06
2,2,194,0.06
2,2,304,0.06
2,2,292,0.06
2,2,466,0.06
2,2,426,0.06
2,2,234,0.06
2,2,278,0.06
2,2,146,0.06
2,2,596,0.06
2,2,326,0.06
2,2,382,0.06
2,2,576,0.06
2,2,258,0.06
2,2,486,0.06
2,2,180,0.06
2,2,620,0.06
2,2,256,0.06
