bot_id,mice_type,steps,alpha
1,2,248,0.05
2,2,442,0.05
2,2,668,0.12
2,2,346,0.1
2,2,806,0.11
2,2,510,0.09
2,2,956,0.05
2,2,684,0.08
2,2,580,0.12
2,2,598,0.07
2,2,386,0.11
1,2,168,0.05
2,2,830,0.1
2,2,110,0.05
2,2,714,0.06
1,2,231,0.09
2,2,320,0.07
2,2,934,0.09
1,2,214,0.05
2,2,800,0.12
2,2,488,0.1
2,2,772,0.06
2,2,1354,0.08
1,2,507,0.1
2,2,676,0.09
1,2,830,0.06
2,2,750,0.07
2,2,1156,0.05
1,2,764,0.07
2,2,1384,0.11
1,2,599,0.13
2,2,742,0.12
2,2,226,0.08
1,2,1022,0.08
1,2,902,0.09
2,2,508,0.09
1,2,361,0.1
2,2,594,0.07
2,2,398,0.12
2,2,512,0.08
2,2,1182,0.06
1,2,1266,0.12
2,2,922,0.11
2,2,986,0.05
1,2,663,0.06
1,2,617,0.13
2,2,2060,0.1
2,2,750,0.09
1,2,792,0.07
2,2,846,0.07
1,2,517,0.1
2,2,842,0.12
2,2,410,0.11
2,2,622,0.08
2,2,572,0.05
2,2,418,0.09
1,2,837,0.09
1,2,116,0.1
1,2,924,0.08
2,2,250,0.12
2,2,454,0.08
2,2,916,0.1
2,2,720,0.07
1,2,100,0.1
1,2,937,0.12
2,2,818,0.11
2,2,470,0.09
1,2,278,0.08
1,2,2247,0.05
2,2,316,0.08
2,2,900,0.05
2,2,594,0.12
2,2,2102,0.06
2,2,626,0.1
2,2,402,0.11
2,2,374,0.09
1,2,1104,0.07
2,2,306,0.08
2,2,938,0.07
1,2,827,0.09
1,2,483,0.12
1,2,356,0.05
2,2,292,0.09
2,2,578,0.12
1,2,1537,0.13
2,2,766,0.06
2,2,300,0.08
2,2,654,0.11
2,2,1026,0.05
2,2,852,0.1
2,2,488,0.07
1,2,834,0.08
2,2,180,0.08
1,2,389,0.09
2,2,244,0.11
1,2,1139,0.1
2,2,384,0.06
2,2,730,0.09
1,2,374,0.13
2,2,446,0.1
2,2,566,0.07
2,2,1090,0.12
2,2,424,0.08
2,2,838,0.05
1,2,780,0.12
1,2,293,0.09
2,2,520,0.1
1,2,1237,0.07
2,2,504,0.12
2,2,956,0.09
1,2,746,0.1
2,2,1060,0.07
2,2,928,0.08
1,2,1012,0.08
2,2,582,0.1
1,2,576,0.12
2,2,512,0.12
2,2,550,0.09
2,2,1918,0.06
1,2,681,0.09
1,2,1044,0.13
1,2,1702,0.05
1,2,237,0.08
2,2,810,0.07
2,2,1792,0.05
2,2,350,0.09
2,2,850,0.08
1,2,546,0.1
2,2,706,0.12
2,2,1036,0.1
1,2,428,0.09
2,2,248,0.09
2,2,444,0.05
1,2,391,0.05
1,2,1120,0.07
2,2,446,0.08
1,2,242,0.1
1,2,700,0.12
1,2,4087,0.06
2,2,3548,0.11
1,2,594,0.13
2,2,854,0.07
2,2,1464,0.06
1,2,313,0.09
2,2,466,0.09
2,2,1020,0.12
1,2,210,0.13
1,2,291,0.12
2,2,584,0.08
1,2,927,0.08
2,2,1082,0.1
1,2,369,0.06
2,2,212,0.12
1,2,332,0.09
2,2,1008,0.07
1,2,172,0.12
1,2,753,0.07
2,2,402,0.08
2,2,634,0.1
2,2,412,0.12
2,2,1846,0.05
1,2,424,0.08
2,2,1458,0.06
2,2,394,0.07
2,2,1728,0.11
2,2,1492,0.09
2,2,494,0.08
1,2,681,0.13
1,2,365,0.12
1,2,1305,0.1
1,2,705,0.06
2,2,450,0.1
1,2,1452,0.05
2,2,524,0.12
2,2,472,0.09
1,2,381,0.08
1,2,837,0.09
2,2,786,0.06
2,2,790,0.11
1,2,862,0.07
2,2,1140,0.05
2,2,512,0.1
2,2,1020,0.07
2,2,978,0.08
2,2,624,0.12
1,2,617,0.13
2,2,362,0.11
2,2,860,0.09
2,2,382,0.05
1,2,865,0.12
1,2,396,0.07
1,2,912,0.1
2,2,780,0.07
1,2,975,0.06
1,2,707,0.09
2,2,818,0.08
1,2,931,0.05
2,2,1108,0.1
2,2,482,0.09
2,2,632,0.11
1,2,911,0.08
2,2,1602,0.06
1,2,259,0.1
2,2,870,0.05
2,2,1378,0.12
1,2,734,0.13
1,2,147,0.08
2,2,416,0.11
2,2,498,0.1
2,2,676,0.08
2,2,938,0.07
1,2,613,0.07
1,2,795,0.12
2,2,780,0.06
2,2,876,0.09
1,2,563,0.06
1,2,169,0.08
1,2,694,0.05
2,2,758,0.12
2,2,450,0.11
1,2,749,0.09
1,2,477,0.1
1,2,579,0.13
1,2,291,0.12
2,2,670,0.07
2,2,1306,0.05
2,2,910,0.08
2,2,654,0.06
2,2,1024,0.1
1,2,414,0.06
2,2,848,0.09
1,2,179,0.13
2,2,678,0.12
2,2,60,0.1
1,2,396,0.1
1,2,751,0.07
2,2,242,0.08
1,2,297,0.12
2,2,1030,0.11
1,2,732,0.09
1,2,318,0.06
2,2,1032,0.07
2,2,1042,0.05
1,2,205,0.12
2,2,902,0.09
2,2,698,0.1
1,2,428,0.1
2,2,810,0.12
1,2,1153,0.05
1,2,615,0.07
1,2,1377,0.08
2,2,788,0.11
2,2,1564,0.06
2,2,1112,0.08
2,2,576,0.07
1,2,174,0.1
1,2,933,0.13
2,2,402,0.1
2,2,408,0.09
2,2,700,0.12
1,2,762,0.06
1,2,602,0.12
2,2,1192,0.05
1,2,348,0.08
2,2,310,0.09
2,2,72,0.12
2,2,694,0.08
2,2,776,0.06
2,2,800,0.11
1,2,630,0.05
2,2,884,0.07
2,2,866,0.1
1,2,142,0.12
2,2,330,0.06
2,2,256,0.1
1,2,460,0.08
2,2,718,0.12
1,2,1086,0.07
2,2,640,0.08
2,2,478,0.07
2,2,1008,0.05
1,2,879,0.13
